IMAGE F Q FRC E QS
187039.jpg -0.02544 -0.00717357 -0.0461868 -0.0700048 0.479836 
187058.jpg 0.210344 0.214837 0.205867 0.218511 0.647005 
187071.jpg -0.0679057 -0.0643713 -0.0825798 -0.0614565 0.963575 
187083.jpg -0.068331 -0.0661938 -0.0900183 -0.0504465 0.817658 
187099.jpg 0.104831 0.133529 -0.16163 0.0453155 0.658269 
188005.jpg -0.00319987 0.118836 -0.15223 -0.0976244 0.44544 
188025.jpg -0.0386707 0.00952343 0.00287386 -0.0400566 0.572081 
188063.jpg 0.0132033 0.00875315 -0.0309886 -0.0126909 0.451748 
188091.jpg 0.113099 0.113668 0.114954 0.0892815 0.683829 
189003.jpg 0.133022 0.0558028 0.227102 0.198074 0.624723 
189006.jpg -0.0201367 -0.102017 0.0436717 0.0329044 0.667412 
189011.jpg 0.0666615 0.0165448 0.0360251 0.154451 0.745325 
189013.jpg 0.220696 0.205744 -0.235293 0.233235 0.541769 
189029.jpg -0.226026 -0.22721 0.191155 -0.233564 0.580184 
189080.jpg 0.337119 0.304151 -0.266327 0.365333 0.877235 
189096.jpg 0.27298 0.248096 0.238516 0.271289 0.617585 
19021.jpg 0.149192 0.0507118 0.180886 0.188189 0.631869 
196015.jpg 0.132049 0.129003 -0.103627 0.160426 0.50619 
196027.jpg 0.472161 0.470726 -0.00662898 0.472182 0.879321 
196040.jpg 0.0932933 0.10404 -0.119774 0.0718738 0.709368 
196062.jpg -0.0539285 0.0217281 0.00139238 -0.0908381 0.333407 
196073.jpg 0.113412 0.113335 0.0713256 0.115858 0.451751 
196088.jpg 0.139495 0.138941 -0.011665 0.139624 0.733547 
197017.jpg 0.0460892 0.0470474 -0.0308171 0.0368134 0.903995 
198004.jpg 0.259626 0.232958 -0.301308 0.311021 0.758145 
198023.jpg 0.375212 0.318393 0.37945 0.386001 0.796261 
198054.jpg -0.0144159 -0.017846 0.0191093 0.0205239 0.711233 
198087.jpg 0.220699 0.21459 -0.17495 0.220069 0.864587 
20008.jpg 0.276199 0.242767 -0.060803 0.350197 0.72586 
20069.jpg -0.0099511 0.0038438 0.00519664 -0.0246234 0.84083 
201080.jpg 0.266948 0.263661 -0.257362 0.265277 0.921949 
2018.jpg 0.171744 0.199832 0.170546 0.266693 0.612594 
202000.jpg -0.0614828 -0.0618375 -0.0613394 -0.0613745 0.845701 
